Round,Oblast,Recorded IDPs,IDPs remaining from last round,New IDPs,Departed IDPs,% change from last round,Change from last round,% of total IDPs this round,Share of total,Data Collected
20,Volynska,"50,001","50,001",,"1,309",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Zakarpatska,"149,786","149,786",,"6,942",-4%,-4% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Zaporizka,"156,134","156,134",,"44,065",-22%,-22% fewer IDPs this round,2%,2% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
20,Zhytomyrska,"68,952","68,952",,809,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Jan 1 2023-Jan 31 2023
21,Cherkaska,"136,066","136,066",,"10,120",-7%,-7% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Chernihivska,"72,342","72,342",,"2,484",-3%,-3% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Chernivetska,"87,937","67,451","20,486",,30%,30% more IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Dnipropetrovska,"372,279","367,089","5,190",,1%,1% more IDPs this round,5%,5% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Donetska,"67,002","45,223","21,779",,48%,48% more IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Ivano-Frankivska,"134,452","134,452",,"7,032",-5%,-5% fewer IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Kharkivska,"467,154","456,946","10,208",,2%,2% more IDPs this round,6%,6% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Khersonska,"10,961","1,032","9,929",,962%,962% more IDPs this round,0%,0% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Khmelnytska,"85,801","85,801",,"4,712",-5%,-5% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Kirovohradska,"93,504","93,504",,980,-1%,-1% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Kyivska,"564,726","561,888","2,838",,1%,1% more IDPs this round,8%,8% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Lvivska,"243,877","243,877",,"3,190",-1%,-1% fewer IDPs this round,3%,3% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Mykolaivska,"117,347","115,721","1,626",,1%,1% more IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Odeska,"143,213","139,556","3,657",,3%,3% more IDPs this round,2%,2% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Poltavska,"193,102","193,102",,631,0%,0% fewer IDPs this round,3%,3% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Rivnenska,"57,650","57,650",,994,-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Sumska,"77,229","69,126","8,103",,12%,12% more IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
21,Ternopilska,"78,867","78,867",,"1,904",-2%,-2% fewer IDPs this round,1%,1% of total recorded IDPs this round,Feb 11 2023-Feb 28 2023
